api_id,api_name,function_name,template_kind,category,sub_category,url,enabled
ka90012,대차거래내역요청,get_domestic_stock_lending_trade_history,rest,국내주식,대차거래,/api/dostk/slb,Y
ka90013,종목일별프로그램매매추이요청,get_domestic_stock_program_daily_trend,rest,국내주식,시세,/api/dostk/mrkcond,Y
kt00001,예수금상세현황요청,get_domestic_deposit_detail,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00002,일별추정예탁자산현황요청,get_domestic_daily_estimated_deposit_asset,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00003,추정자산조회요청,get_domestic_estimated_asset,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00004,계좌평가현황요청,get_domestic_account_evaluation_status,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00005,체결잔고요청,get_domestic_order_fill_balance,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00007,계좌별주문체결내역상세요청,get_domestic_account_order_fill_detail,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00008,계좌별익일결제예정내역요청,get_domestic_account_next_day_settlement,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00009,계좌별주문체결현황요청,get_domestic_account_order_fill_status,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00010,주문인출가능금액요청,get_domestic_order_withdrawable_amount,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00011,증거금율별주문가능수량조회요청,get_domestic_orderable_quantity_by_margin_rate,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00012,신용보증금율별주문가능수량조회요청,get_domestic_orderable_quantity_by_credit_margin_rate,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00013,증거금세부내역조회요청,get_domestic_margin_detail,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00015,위탁종합거래내역요청,get_domestic_brokerage_account_transaction_history,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00016,일별계좌수익률상세현황요청,get_domestic_daily_account_return_rate_detail,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00017,계좌별당일현황요청,get_domestic_account_today_status,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00018,계좌평가잔고내역요청,get_domestic_account_evaluation_balance,rest,국내주식,계좌,/api/dostk/acnt,Y
kt10000,주식 매수주문,buy_domestic_stock,rest,국내주식,주문,/api/dostk/ordr,Y
kt10001,주식 매도주문,sell_domestic_stock,rest,국내주식,주문,/api/dostk/ordr,Y
kt10002,주식 정정주문,modify_domestic_stock_order,rest,국내주식,주문,/api/dostk/ordr,Y
kt10003,주식 취소주문,cancel_domestic_stock_order,rest,국내주식,주문,/api/dostk/ordr,Y
kt10006,신용 매수주문,buy_domestic_credit_stock,rest,국내주식,신용주문,/api/dostk/crdordr,Y
kt10007,신용 매도주문,sell_domestic_credit_stock,rest,국내주식,신용주문,/api/dostk/crdordr,Y
kt10008,신용 정정주문,modify_domestic_credit_stock_order,rest,국내주식,신용주문,/api/dostk/crdordr,Y
kt10009,신용 취소주문,cancel_domestic_credit_stock_order,rest,국내주식,신용주문,/api/dostk/crdordr,Y
kt20016,신용융자 가능종목요청,get_domestic_credit_loanable_stocks,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
